course,respondents,Employed,Employed And Further Studies,Further Studies,Resigned,Unemployed,Vacation,Vocational
AB Hum,2,1,1,0,0,0,0,0
AB IS,19,14,1,3,1,0,0,0
AB Lit (Eng),8,3,1,4,0,0,0,0
AB Lit (Fil),0,0,0,0,0,0,0,0
AB-MA Lit (Fil),0,0,0,0,0,0,0,0
AB Ph,1,0,1,0,0,0,0,0
AB Ph (Pre-Div),1,0,0,0,1,0,0,0
AB Pre-Div,0,0,0,0,0,0,0,0
BFA AM,0,0,0,0,0,0,0,0
BFA CW,5,4,0,0,0,0,1,0
BFA ID,8,4,0,4,0,0,0,0
BFA TA,1,1,0,0,0,0,0,0
BS ME,50,41,3,2,2,1,1,0
BS Mgt-H,11,9,1,1,0,0,0,0
BS Mgt ,101,85,2,9,2,2,1,0
BS Comtech,65,52,1,5,1,5,1,0
BS ITE,0,0,0,0,0,0,0,0
BS LM,24,14,0,9,0,0,1,0
BS MAC,26,22,0,2,1,0,1,0
BS Bio,11,1,0,9,0,0,1,0
BS Ch,6,2,1,3,0,0,0,0
BS Ch-ACS,0,0,0,0,0,0,0,0
BS Ch-MSE,8,6,0,1,0,0,1,0
BS-MS Ch,1,0,1,0,0,0,0,0
BS CoE,11,8,1,1,0,0,1,0
BS ECE,21,11,0,7,0,0,3,0
BS ES,3,1,0,2,0,0,0,0
BS HS,64,1,0,62,0,0,1,0
BS LfSci,24,0,0,24,0,0,0,0
BS CS,20,17,1,1,0,1,0,0
BS-MS CS,0,0,0,0,0,0,0,0
BS MIS,12,10,1,1,0,0,0,0
BS MIS-MS CS,0,0,0,0,0,0,0,0
BS Math,1,1,0,0,0,0,0,0
BSM AMC,1,1,0,0,0,0,0,0
BSM AMF,11,6,0,2,0,0,3,0
BS Aps-ACS,2,1,1,0,0,0,0,0
BS Ps,0,0,0,0,0,0,0,0
BS Ps-ACS,0,0,0,0,0,0,0,0
BS Ps-MSE,1,1,0,0,0,0,0,0
BS-MS Ps,0,0,0,0,0,0,0,0
AB ChnS,1,1,0,0,0,0,0,0
AB ChnS (Business Track),0,0,0,0,0,0,0,0
AB Com,26,16,2,2,2,0,4,0
AB DS,10,9,0,0,0,0,1,0
AB Ec-H,6,5,0,1,0,0,0,0
AB Ec ,27,16,1,5,1,2,2,0
AB Mec,20,13,0,5,0,2,0,0
AB Eu,18,10,0,5,1,0,2,0
AB His,0,0,0,0,0,0,0,0
AB Pos,7,2,1,2,0,0,2,0
AB-MA Pos,3,1,0,2,0,0,0,0
AB Pos (Masters in Pub. Mgt.),0,0,0,0,0,0,0,0
AB Psy,29,20,6,1,1,0,1,0
BS Psy,20,10,1,8,1,0,0,0
AB Sos,3,3,0,0,0,0,0,0
Unspecified Courses,0,0,0,0,0,0,0,0
