course,respondents,Employed,Employed And Further Studies,Further Studies,Resigned,Unemployed,Vacation,Vocational
AB Hum,0,0,0,0,0,0,0,0
AB IS,19,14,1,2,0,2,0,0
AB Lit (Eng),7,3,4,0,0,0,0,0
AB Lit (Fil),0,0,0,0,0,0,0,0
AB-MA Lit (Fil),0,0,0,0,0,0,0,0
AB Ph,0,0,0,0,0,0,0,0
AB Ph (Pre-Div),3,3,0,0,0,0,0,0
AB Pre-Div,0,0,0,0,0,0,0,0
BFA AM,0,0,0,0,0,0,0,0
BFA CW,3,3,0,0,0,0,0,0
BFA ID,9,8,1,0,0,0,0,0
BFA TA,0,0,0,0,0,0,0,0
BS ME,23,23,0,0,0,0,0,0
BS Mgt-H,6,6,0,0,0,0,0,0
BS Mgt ,75,60,3,8,0,4,0,0
BS Comtech,36,32,0,3,0,1,0,0
BS ITE,0,0,0,0,0,0,0,0
BS LM,31,11,2,16,0,1,1,0
BS MAC,13,10,0,2,0,1,0,0
BS Bio,7,0,1,6,0,0,0,0
BS Ch,2,1,0,1,0,0,0,0
BS Ch-ACS,0,0,0,0,0,0,0,0
BS Ch-MSE,15,11,0,3,0,1,0,0
BS-MS Ch,5,3,0,2,0,0,0,0
BS CoE,5,5,0,0,0,0,0,0
BS ECE,11,10,1,0,0,0,0,0
BS ES,0,0,0,0,0,0,0,0
BS HS,29,4,0,25,0,0,0,0
BS LfSci,11,1,0,10,0,0,0,0
BS CS,13,12,0,1,0,0,0,0
BS-MS CS,0,0,0,0,0,0,0,0
BS MIS,20,16,0,3,0,0,1,0
BS MIS-MS CS,0,0,0,0,0,0,0,0
BS Math,3,3,0,0,0,0,0,0
BSM AMC,0,0,0,0,0,0,0,0
BSM AMF,19,12,5,1,0,1,0,0
BS Aps-ACS,2,1,1,0,0,0,0,0
BS Ps,2,1,0,1,0,0,0,0
BS Ps-ACS,0,0,0,0,0,0,0,0
BS Ps-MSE,2,1,0,1,0,0,0,0
BS-MS Ps,0,0,0,0,0,0,0,0
AB ChnS,1,1,0,0,0,0,0,0
AB ChnS (Business Track),0,0,0,0,0,0,0,0
AB Com,14,12,0,1,0,1,0,0
AB DS,3,1,1,1,0,0,0,0
AB Ec-H,3,3,0,0,0,0,0,0
AB Ec ,7,5,1,1,0,0,0,0
AB Mec,15,12,1,2,0,0,0,0
AB Eu,18,13,2,3,0,0,0,0
AB His,2,1,0,1,0,0,0,0
AB Pos,8,4,1,3,0,0,0,0
AB-MA Pos,2,0,0,1,0,1,0,0
AB Pos (Masters in Pub. Mgt.),0,0,0,0,0,0,0,0
AB Psy,14,8,4,2,0,0,0,0
BS Psy,20,6,3,10,0,0,1,0
AB Sos,6,3,1,2,0,0,0,0
Unspecified Courses,0,0,0,0,0,0,0,0
