date,year,distance,origin,destination
AB Humanities,2014,0,,
AB Interdisciplinary Studies,2014,0.58,,
AB Lit. (Eng.),2014,0.43,,
AB Philo.,2014,0.63,,
AB Philo (Pre-Divinity),2014,0,,
BFA Art Management,2014,0.67,,
BFA Creative Writing,2014,0.86,,
BFA Information Design,2014,0.88,,
BS Communications Technology Management,2014,0.78,,
BS Information Technology Entrepreneurship,2014,1,,
BS Legal Management,2014,0.42,,
BS Managemet (Standard Program),2014,0.76,,
BS Management (Honors),2014,1,,
BS Management of Applied Chemistry,2014,0.79,,
BS Management Engineering,2014,0.88,,
BS Applied Physics with Applied Computer Systems,2014,1,,
BS Biology,2014,0.13,,
BS Chemistry with Materials Science Engineering,2014,0.83,,
BS Computer Engineering,2014,1,,
BS Computer Science,2014,0.9,,
BS Electronics Engineering,2014,0.88,,
BS Environmental Science,2014,0.71,,
BS Health Sciences,2014,0.14,,
BS Life Sciences,2014,0.19,,
BS Mathematics,2014,1,,
BS Management Information Systems,2014,0.87,,
BS Physics with Materials and Science Engineering,2014,1,,
"BSM Applied Mathematics, Major in Mathematical Finance",2014,0.87,,
BS-MS Chemistry,2014,0,,
AB Chinese Studies,2014,0.67,,
AB Chinese Studies - Business Track,2014,1,,
AB Development Studies,2014,0.63,,
AB Economics,2014,0.7,,
AB Economics (Honors),2014,1,,
AB European Studies,2014,0.73,,
AB Management Economics,2014,0.94,,
AB History,2014,0.2,,
AB Political Science,2014,0.45,,
AB Psychology,2014,0.74,,
BS Psychology,2014,0.44,,
AB Social Sciences,2014,0.67,,
AB-MA Political Science,2014,0.25,,
AB Political Science - Masters in Public Management,2014,0.25,,
Unspecified Courses,2014,0.63,,
All Courses,2014,0.68,,
AB Humanities,2015,0,,
AB Interdisciplinary Studies,2015,0.06,,
AB Lit. (Eng.),2015,0.14,,
AB Philo.,2015,0.25,,
AB Philo (Pre-Divinity),2015,0,,
BFA Art Management,2015,0,,
BFA Creative Writing,2015,0,,
BFA Information Design,2015,0,,
BS Communications Technology Management,2015,0.09,,
BS Information Technology Entrepreneurship,2015,0,,
BS Legal Management,2015,0.12,,
BS Managemet (Standard Program),2015,0.04,,
BS Management (Honors),2015,0,,
BS Management of Applied Chemistry,2015,0,,
BS Management Engineering,2015,0,,
BS Applied Physics with Applied Computer Systems,2015,0,,
BS Biology,2015,0.25,,
BS Chemistry with Materials Science Engineering,2015,0,,
BS Computer Engineering,2015,0,,
BS Computer Science,2015,0,,
BS Electronics Engineering,2015,0.13,,
BS Environmental Science,2015,0,,
BS Health Sciences,2015,0.05,,
BS Life Sciences,2015,0,,
BS Mathematics,2015,0,,
BS Management Information Systems,2015,0.03,,
BS Physics with Materials and Science Engineering,2015,0,,
"BSM Applied Mathematics, Major in Mathematical Finance",2015,0.05,,
BS-MS Chemistry,2015,0,,
AB Chinese Studies,2015,0,,
AB Chinese Studies - Business Track,2015,0,,
AB Development Studies,2015,0,,
AB Economics,2015,0.2,,
AB Economics (Honors),2015,0,,
AB European Studies,2015,0.2,,
AB Management Economics,2015,0.06,,
AB History,2015,0.2,,
AB Political Science,2015,0.09,,
AB Psychology,2015,0.11,,
BS Psychology,2015,0.04,,
AB Social Sciences,2015,0,,
AB-MA Political Science,2015,0.25,,
AB Political Science - Masters in Public Management,2015,0,,
Unspecified Courses,2015,0,,
All Courses,2015,0.05,,
AB Humanities,2013,1,,
AB Interdisciplinary Studies,2013,0.22,,
AB Lit. (Eng.),2013,0.43,,
AB Philo.,2013,0.13,,
AB Philo (Pre-Divinity),2013,1,,
BFA Art Management,2013,0.33,,
BFA Creative Writing,2013,0,,
BFA Information Design,2013,0,,
BS Communications Technology Management,2013,0.11,,
BS Information Technology Entrepreneurship,2013,0,,
BS Legal Management,2013,0.42,,
BS Managemet (Standard Program),2013,0.13,,
BS Management (Honors),2013,0,,
BS Management of Applied Chemistry,2013,0.14,,
BS Management Engineering,2013,0.06,,
BS Applied Physics with Applied Computer Systems,2013,0,,
BS Biology,2013,0.5,,
BS Chemistry with Materials Science Engineering,2013,0.17,,
BS Computer Engineering,2013,0,,
BS Computer Science,2013,0.1,,
BS Electronics Engineering,2013,0,,
BS Environmental Science,2013,0.29,,
BS Health Sciences,2013,0.79,,
BS Life Sciences,2013,0.81,,
BS Mathematics,2013,0,,
BS Management Information Systems,2013,0.05,,
BS Physics with Materials and Science Engineering,2013,0,,
"BSM Applied Mathematics, Major in Mathematical Finance",2013,0.05,,
BS-MS Chemistry,2013,1,,
AB Chinese Studies,2013,0.33,,
AB Chinese Studies - Business Track,2013,0,,
AB Development Studies,2013,0.25,,
AB Economics,2013,0.1,,
AB Economics (Honors),2013,0,,
AB European Studies,2013,0.07,,
AB Management Economics,2013,0,,
AB History,2013,0,,
AB Political Science,2013,0.27,,
AB Psychology,2013,0.14,,
BS Psychology,2013,0.48,,
AB Social Sciences,2013,0.33,,
AB-MA Political Science,2013,0.5,,
AB Political Science - Masters in Public Management,2013,0.75,,
Unspecified Courses,2013,0.17,,
All Courses,2013,0.21,,
